"arna0440-dos-code_text" "arna0440-source_text" "blac0350-code_text" "dove0550-code_text" "jame0551-code_text" "long0500-code_text" "muno0370-code_text" "olss0551-code_text" "oska0551-code_text" "supn0350-code_text" "vane0560-code_text" "wood0350-code_text" "wood043b-code_text"
"water" 0 0.192446475823911 0 0 0 0 0 0 0 0 0.142824926708261 0.176095091349329 0.17102369899829
"m" 0 0.0601395236949723 0 0 0 0 0 0 1.04602510460251 0 0.157859129519657 0.249468046078216 0
"as" 0 0.0240558094779889 0 0 0 0 0 0 0 0 0.127790723896865 0.27881722796977 0.17102369899829
"dflag" 0 0.2165022853019 0 0 0 0 0 0 0 0 0.127790723896865 0.139408613984885 0.219887612997801
"grate" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.150342028113959 0.146745909457774 0.219887612997801
"this" 0 0.0360837142169834 0 0 0 1.02040816326531 0 0 1.04602510460251 0 0.105239419679771 0.198106977767995 0.219887612997801
"chest" 0 0.10825114265095 0 0 0 0 0 0 0 0 0.165376230925355 0.124734023039108 0.317615440996824
"kw" 0 0.733702189078662 0 0 0 0 0 0 0 0 0 0 0
"link" 0 0.336781332691845 0 0 0 0 0 0 0 0 0.0451026084341878 0.183432386822217 0.0488639139995114
"common" 0 0.360837142169834 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0 0.205444273240883 0
"so" 0 0.0481116189559779 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0751710140569796 0.198106977767995 0.366479354996335
"ll" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0676539126512817 0.154083204930663 0.415343268995847
"location" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.172893332331053 0.212781568713772 0.146591741998534
"objcon" 0 0 0 0 0 0 0 0 0 0 0.44350898293618 0 0
"oldloc" 0 0.192446475823911 0 0 0 0 0 0 0 0 0.0751710140569796 0.124734023039108 0.390911311996091
"cask" 0 0 0 0 0 0 0 0 0 0 0.435991881530482 0 0
"idondx" 0 0.336781332691845 0 0 0 0 0 0 0 0 0 0.220118864186661 0
"on" 0 0.0240558094779889 0 0 0 0 0 0 0 0 0.180410433736751 0.176095091349329 0.195455655998045
"plant" 0 0.228530190040895 0 0 0 0 0 0 0 0 0.0977223182740735 0.154083204930663 0.122159784998778
"write" 0 0.336781332691845 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.210478839359543 0 0
"get" 0 0.0120279047389945 0 0 0 0 0 0 0.209205020920502 0 0.165376230925355 0.132071318511996 0.366479354996335
"message" 0 0 0 0 0 0 0 0 0 0 0.150342028113959 0.256805341551104 0.0488639139995114
"with" 0 0.0360837142169834 0 0 0 0 0 0 0 0 0.165376230925355 0.161420500403551 0.219887612997801
"dwarves" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.165376230925355 0.146745909457774 0.293183483997068
